#options: cpuid=1050111 frame-threads=1 no-wpp no-pmode no-pme psnr no-ssim log-level=2 bitdepth=8 input-csp=1 fps=25000/1000 input-res=768x432 interlace=0 total-frames=250 level-idc=0 high-tier=1 uhd-bd=0 ref=4 no-allow-non-conformance no-repeat-headers annexb no-aud no-hrd info hash=0 no-temporal-layers open-gop min-keyint=1 keyint=5000 bframes=15 b-adapt=2 b-pyramid bframe-bias=0 rc-lookahead=40 lookahead-slices=0 scenecut=40 no-intra-refresh ctu=64 min-cu-size=8 rect amp max-tu-size=32 tu-inter-depth=3 tu-intra-depth=3 limit-tu=4 rdoq-level=2 dynamic-rd=0.00 no-ssim-rd signhide no-tskip nr-intra=0 nr-inter=0 no-constrained-intra strong-intra-smoothing max-merge=4 limit-refs=1 limit-modes me=3 subme=4 merange=57 temporal-mvp weightp weightb no-analyze-src-pics deblock=0:0 sao no-sao-non-deblock rd=6 no-early-skip rskip no-fast-intra no-tskip-fast no-cu-lossless b-intra rdpenalty=0 psy-rd=0.00 psy-rdoq=0.00 no-rd-refine analysis-reuse-mode=0 no-lossless cbqpoffs=0 crqpoffs=0 rc=abr bitrate=2000 qcomp=0.60 qpstep=4 stats-write=1 stats-read=0 slow-firstpass ipratio=1.40 pbratio=1.30 aq-mode=1 aq-strength=0.00 cutree zone-count=0 no-strict-cbr qg-size=64 no-rc-grain qpmax=69 qpmin=0 no-const-vbv sar=0 overscan=0 videoformat=5 range=0 colorprim=2 transfer=2 colormatrix=2 chromaloc=0 display-window=0 max-cll=0,0 min-luma=0 max-luma=255 log2-max-poc-lsb=8 vui-timing-info vui-hrd-info slices=1 opt-qp-pps opt-ref-list-length-pps no-multi-pass-opt-rps scenecut-bias=0.05 no-opt-cu-delta-qp no-aq-motion no-hdr no-hdr-opt no-dhdr10-opt analysis-reuse-level=5 scale-factor=0 refine-intra=0 refine-inter=0 refine-mv=0 no-limit-sao ctu-info=0 max-tlayer=4
in:0 out:0 type:I q:25.21 q-aq:21.56 q-noVbv:25.21 q-Rceq:1.00 tex:296144 mv:38352 misc:2392 icu:1296.00 pcu:0.00 scu:0.00 tlayer:0 pbqpoffset:0.00 pbfactor:1.00 avgQpOffsetCutree:-4.89;
in:5 out:1 type:k q:28.12 q-aq:22.91 q-noVbv:28.12 q-Rceq:1.00 tex:143443 mv:28742 misc:3791 icu:458.75 pcu:779.50 scu:57.75 tlayer:0 pbqpoffset:0.00 pbfactor:1.00 avgQpOffsetCutree:-4.99;
in:3 out:2 type:B q:30.69 q-aq:28.76 q-noVbv:30.69 q-Rceq:1.00 tex:27392 mv:18955 misc:3373 icu:77.00 pcu:859.00 scu:360.00 tlayer:1 pbqpoffset:2.57 pbfactor:1.35 avgQpOffsetCutree:-2.08;
in:2 out:3 type:B q:31.19 q-aq:31.05 q-noVbv:31.19 q-Rceq:1.00 tex:10868 mv:13016 misc:2852 icu:25.50 pcu:740.50 scu:530.00 tlayer:2 pbqpoffset:3.06 pbfactor:1.42 avgQpOffsetCutree:-0.88;
in:1 out:4 type:b q:32.37 q-aq:32.11 q-noVbv:32.37 q-Rceq:1.00 tex:6706 mv:9882 misc:2188 icu:3.50 pcu:763.25 scu:529.25 tlayer:3 pbqpoffset:4.24 pbfactor:1.63 avgQpOffsetCutree:0.00;
in:4 out:5 type:b q:32.23 q-aq:32.04 q-noVbv:32.23 q-Rceq:1.00 tex:5965 mv:9410 misc:2073 icu:22.00 pcu:708.00 scu:566.00 tlayer:2 pbqpoffset:4.10 pbfactor:1.61 avgQpOffsetCutree:0.00;
in:17 out:6 type:k q:25.17 q-aq:21.92 q-noVbv:25.17 q-Rceq:1.00 tex:277304 mv:24318 misc:2194 icu:1234.50 pcu:60.50 scu:1.00 tlayer:0 pbqpoffset:0.00 pbfactor:1.00 avgQpOffsetCutree:-4.97;
in:11 out:7 type:B q:28.86 q-aq:24.84 q-noVbv:28.86 q-Rceq:1.00 tex:113491 mv:24454 misc:3487 icu:468.25 pcu:733.00 scu:94.75 tlayer:1 pbqpoffset:2.22 pbfactor:1.29 avgQpOffsetCutree:-4.18;
in:8 out:8 type:B q:30.83 q-aq:28.52 q-noVbv:30.83 q-Rceq:1.00 tex:32937 mv:18112 misc:3231 icu:95.00 pcu:894.50 scu:306.50 tlayer:2 pbqpoffset:3.44 pbfactor:1.49 avgQpOffsetCutree:-2.34;
in:7 out:9 type:B q:31.71 q-aq:31.54 q-noVbv:31.71 q-Rceq:1.00 tex:8659 mv:11945 misc:2636 icu:39.75 pcu:765.50 scu:490.75 tlayer:3 pbqpoffset:4.08 pbfactor:1.60 avgQpOffsetCutree:-0.82;
in:6 out:10 type:b q:34.96 q-aq:35.00 q-noVbv:34.96 q-Rceq:1.00 tex:3450 mv:7077 misc:1849 icu:22.25 pcu:663.00 scu:610.75 tlayer:4 pbqpoffset:7.08 pbfactor:2.27 avgQpOffsetCutree:0.00;
in:10 out:11 type:B q:30.97 q-aq:30.75 q-noVbv:30.97 q-Rceq:1.00 tex:9970 mv:12598 misc:2848 icu:20.50 pcu:745.75 scu:529.75 tlayer:3 pbqpoffset:4.08 pbfactor:1.60 avgQpOffsetCutree:-0.88;
in:9 out:12 type:b q:34.22 q-aq:34.00 q-noVbv:34.22 q-Rceq:1.00 tex:4254 mv:7408 misc:2058 icu:4.25 pcu:638.50 scu:653.25 tlayer:4 pbqpoffset:7.08 pbfactor:2.27 avgQpOffsetCutree:0.00;
in:14 out:13 type:B q:28.86 q-aq:26.28 q-noVbv:28.86 q-Rceq:1.00 tex:64856 mv:20337 misc:3527 icu:208.25 pcu:912.25 scu:175.50 tlayer:2 pbqpoffset:2.95 pbfactor:1.41 avgQpOffsetCutree:-2.54;
in:13 out:14 type:B q:30.24 q-aq:29.96 q-noVbv:30.24 q-Rceq:1.00 tex:9254 mv:11539 misc:2911 icu:25.75 pcu:705.75 scu:564.50 tlayer:3 pbqpoffset:4.08 pbfactor:1.60 avgQpOffsetCutree:-0.92;
in:12 out:15 type:b q:33.48 q-aq:33.57 q-noVbv:33.48 q-Rceq:1.00 tex:4420 mv:8182 misc:2126 icu:7.00 pcu:687.75 scu:601.25 tlayer:4 pbqpoffset:7.08 pbfactor:2.27 avgQpOffsetCutree:0.00;
in:16 out:16 type:B q:29.50 q-aq:30.88 q-noVbv:29.50 q-Rceq:1.00 tex:13759 mv:10876 misc:2909 icu:84.25 pcu:551.50 scu:660.25 tlayer:3 pbqpoffset:4.08 pbfactor:1.60 avgQpOffsetCutree:-0.06;
in:15 out:17 type:b q:32.74 q-aq:33.00 q-noVbv:32.74 q-Rceq:1.00 tex:2421 mv:6610 misc:1817 icu:28.75 pcu:600.00 scu:667.25 tlayer:4 pbqpoffset:7.08 pbfactor:2.27 avgQpOffsetCutree:0.00;
in:33 out:18 type:k q:25.06 q-aq:21.99 q-noVbv:25.06 q-Rceq:1.00 tex:254735 mv:25669 misc:2340 icu:1223.75 pcu:71.75 scu:0.50 tlayer:0 pbqpoffset:0.00 pbfactor:1.00 avgQpOffsetCutree:-5.14;
in:25 out:19 type:B q:27.83 q-aq:24.56 q-noVbv:27.83 q-Rceq:1.00 tex:141626 mv:22357 misc:2897 icu:668.50 pcu:618.00 scu:9.50 tlayer:1 pbqpoffset:2.71 pbfactor:1.37 avgQpOffsetCutree:-4.49;
