#options: cpuid=1173503 frame-threads=1 no-wpp no-pmode no-pme psnr no-ssim log-level=2 bitdepth=8 input-csp=1 fps=25000/1000 input-res=768x432 interlace=0 total-frames=250 level-idc=0 high-tier=1 uhd-bd=0 ref=4 no-allow-non-conformance no-repeat-headers annexb no-aud no-hrd info hash=0 no-temporal-layers open-gop min-keyint=1 keyint=5000 bframes=15 b-adapt=2 b-pyramid bframe-bias=0 rc-lookahead=40 lookahead-slices=0 scenecut=40 no-intra-refresh ctu=64 min-cu-size=8 rect amp max-tu-size=32 tu-inter-depth=3 tu-intra-depth=3 limit-tu=4 rdoq-level=2 dynamic-rd=0.00 no-ssim-rd signhide no-tskip nr-intra=0 nr-inter=0 no-constrained-intra strong-intra-smoothing max-merge=4 limit-refs=1 limit-modes me=3 subme=4 merange=57 temporal-mvp weightp weightb no-analyze-src-pics deblock=0:0 sao no-sao-non-deblock rd=6 no-early-skip rskip no-fast-intra no-tskip-fast no-cu-lossless b-intra rdpenalty=0 psy-rd=0.00 psy-rdoq=0.00 no-rd-refine analysis-reuse-mode=0 no-lossless cbqpoffs=0 crqpoffs=0 rc=abr bitrate=2000 qcomp=0.60 qpstep=4 stats-write=1 stats-read=0 slow-firstpass ipratio=1.40 pbratio=1.30 aq-mode=1 aq-strength=0.00 cutree zone-count=0 no-strict-cbr qg-size=64 no-rc-grain qpmax=69 qpmin=0 no-const-vbv sar=0 overscan=0 videoformat=5 range=0 colorprim=2 transfer=2 colormatrix=2 chromaloc=0 display-window=0 max-cll=0,0 min-luma=0 max-luma=255 log2-max-poc-lsb=8 vui-timing-info vui-hrd-info slices=1 opt-qp-pps opt-ref-list-length-pps no-multi-pass-opt-rps scenecut-bias=0.05 no-opt-cu-delta-qp no-aq-motion no-hdr no-hdr-opt no-dhdr10-opt analysis-reuse-level=5 scale-factor=0 refine-intra=0 refine-inter=0 refine-mv=0 no-limit-sao ctu-info=0 max-tlayer=4
in:15 out:16 type:b q:25.45 q-aq:25.19 q-noVbv:25.45 q-Rceq:1.00 tex:4382 mv:6011 misc:2023 icu:18.00 pcu:473.00 scu:805.00 tlayer:4 pbqpoffset:6.60 pbfactor:2.14 avgQpOffsetCutree:0.00;
in:32 out:17 type:k q:16.82 q-aq:11.70 q-noVbv:16.82 q-Rceq:1.00 tex:275270 mv:33570 misc:2880 icu:1261.00 pcu:34.75 scu:0.25 tlayer:0 pbqpoffset:0.00 pbfactor:1.00 avgQpOffsetCutree:-5.49;
in:24 out:18 type:B q:19.50 q-aq:15.02 q-noVbv:19.50 q-Rceq:1.00 tex:175657 mv:26776 misc:3175 icu:767.50 pcu:324.25 scu:204.25 tlayer:1 pbqpoffset:1.67 pbfactor:1.21 avgQpOffsetCutree:-4.63;
in:20 out:19 type:B q:20.48 q-aq:17.24 q-noVbv:20.48 q-Rceq:1.00 tex:78719 mv:24516 misc:3061 icu:327.50 pcu:612.25 scu:356.25 tlayer:2 pbqpoffset:2.15 pbfactor:1.28 avgQpOffsetCutree:-3.03;
in:18 out:20 type:B q:22.12 q-aq:20.54 q-noVbv:22.12 q-Rceq:1.00 tex:24268 mv:16636 misc:2936 icu:42.25 pcu:715.25 scu:538.50 tlayer:3 pbqpoffset:3.53 pbfactor:1.50 avgQpOffsetCutree:-1.72;
in:17 out:21 type:b q:25.25 q-aq:25.01 q-noVbv:25.25 q-Rceq:1.00 tex:4615 mv:7939 misc:1854 icu:8.25 pcu:706.75 scu:581.00 tlayer:4 pbqpoffset:6.53 pbfactor:2.13 avgQpOffsetCutree:0.00;
in:19 out:22 type:b q:24.99 q-aq:25.00 q-noVbv:24.99 q-Rceq:1.00 tex:4447 mv:7982 misc:1987 icu:13.25 pcu:635.00 scu:647.75 tlayer:4 pbqpoffset:6.53 pbfactor:2.13 avgQpOffsetCutree:0.00;
in:22 out:23 type:B q:21.17 q-aq:19.87 q-noVbv:21.17 q-Rceq:1.00 tex:35512 mv:18007 misc:2897 icu:232.75 pcu:626.25 scu:437.00 tlayer:3 pbqpoffset:3.09 pbfactor:1.43 avgQpOffsetCutree:-1.62;
in:21 out:24 type:b q:24.74 q-aq:25.00 q-noVbv:24.74 q-Rceq:1.00 tex:5965 mv:8605 misc:2078 icu:61.25 pcu:602.00 scu:632.75 tlayer:4 pbqpoffset:6.53 pbfactor:2.13 avgQpOffsetCutree:0.00;
in:23 out:25 type:b q:24.49 q-aq:24.47 q-noVbv:24.49 q-Rceq:1.00 tex:6639 mv:8689 misc:2144 icu:69.00 pcu:596.25 scu:630.75 tlayer:4 pbqpoffset:6.53 pbfactor:2.13 avgQpOffsetCutree:0.00;
in:28 out:26 type:B q:18.99 q-aq:15.41 q-noVbv:18.99 q-Rceq:1.00 tex:131519 mv:22823 misc:3266 icu:479.25 pcu:526.00 scu:290.75 tlayer:2 pbqpoffset:1.67 pbfactor:1.21 avgQpOffsetCutree:-3.58;
in:26 out:27 type:B q:21.11 q-aq:19.86 q-noVbv:21.11 q-Rceq:1.00 tex:27505 mv:16332 misc:2699 icu:244.75 pcu:553.75 scu:497.50 tlayer:3 pbqpoffset:3.53 pbfactor:1.50 avgQpOffsetCutree:-1.52;
in:25 out:28 type:b q:24.23 q-aq:24.06 q-noVbv:24.23 q-Rceq:1.00 tex:8337 mv:9388 misc:2139 icu:101.75 pcu:545.50 scu:648.75 tlayer:4 pbqpoffset:6.53 pbfactor:2.13 avgQpOffsetCutree:0.00;
in:27 out:29 type:b q:23.98 q-aq:24.00 q-noVbv:23.98 q-Rceq:1.00 tex:5119 mv:7330 misc:1671 icu:121.50 pcu:503.00 scu:671.50 tlayer:4 pbqpoffset:6.53 pbfactor:2.13 avgQpOffsetCutree:0.00;
in:30 out:30 type:B q:20.57 q-aq:18.54 q-noVbv:20.57 q-Rceq:1.00 tex:40381 mv:10505 misc:2874 icu:280.75 pcu:395.50 scu:619.75 tlayer:3 pbqpoffset:3.50 pbfactor:1.50 avgQpOffsetCutree:-2.02;
in:29 out:31 type:b q:23.73 q-aq:24.00 q-noVbv:23.73 q-Rceq:1.00 tex:5095 mv:4428 misc:1413 icu:161.25 pcu:290.75 scu:844.00 tlayer:4 pbqpoffset:6.53 pbfactor:2.13 avgQpOffsetCutree:0.00;
in:31 out:32 type:b q:23.47 q-aq:23.41 q-noVbv:23.47 q-Rceq:1.00 tex:9743 mv:3610 misc:1743 icu:136.00 pcu:250.00 scu:910.00 tlayer:4 pbqpoffset:6.53 pbfactor:2.13 avgQpOffsetCutree:0.00;
in:48 out:33 type:k q:13.76 q-aq:7.99 q-noVbv:13.76 q-Rceq:1.00 tex:377237 mv:38542 misc:2757 icu:1220.75 pcu:75.00 scu:0.25 tlayer:0 pbqpoffset:0.00 pbfactor:1.00 avgQpOffsetCutree:-6.15;
in:40 out:34 type:B q:16.90 q-aq:11.70 q-noVbv:16.90 q-Rceq:1.00 tex:235429 mv:34291 misc:3248 icu:776.50 pcu:281.00 scu:238.50 tlayer:1 pbqpoffset:1.61 pbfactor:1.20 avgQpOffsetCutree:-5.18;
in:36 out:35 type:B q:18.23 q-aq:14.71 q-noVbv:18.23 q-Rceq:1.00 tex:106253 mv:28804 misc:3431 icu:265.50 pcu:611.50 scu:419.00 tlayer:2 pbqpoffset:2.18 pbfactor:1.29 avgQpOffsetCutree:-3.28;
in:34 out:36 type:B q:19.72 q-aq:18.22 q-noVbv:19.72 q-Rceq:1.00 tex:34824 mv:17765 misc:3011 icu:141.50 pcu:635.00 scu:519.50 tlayer:3 pbqpoffset:3.29 pbfactor:1.46 avgQpOffsetCutree:-1.59;
in:33 out:37 type:b q:23.10 q-aq:23.01 q-noVbv:23.10 q-Rceq:1.00 tex:6885 mv:8436 misc:2111 icu:78.50 pcu:579.25 scu:638.25 tlayer:4 pbqpoffset:6.48 pbfactor:2.11 avgQpOffsetCutree:0.00;
in:35 out:38 type:b q:22.72 q-aq:23.00 q-noVbv:22.72 q-Rceq:1.00 tex:7102 mv:7981 misc:1925 icu:54.25 pcu:488.25 scu:753.50 tlayer:4 pbqpoffset:6.48 pbfactor:2.11 avgQpOffsetCutree:0.00;
in:38 out:39 type:B q:19.15 q-aq:17.46 q-noVbv:19.15 q-Rceq:1.00 tex:37409 mv:20110 misc:3233 icu:51.75 pcu:774.50 scu:469.75 tlayer:3 pbqpoffset:3.48 pbfactor:1.49 avgQpOffsetCutree:-1.74;
in:37 out:40 type:b q:22.34 q-aq:22.07 q-noVbv:22.34 q-Rceq:1.00 tex:5903 mv:7922 misc:1967 icu:10.00 pcu:572.00 scu:714.00 tlayer:4 pbqpoffset:6.48 pbfactor:2.11 avgQpOffsetCutree:0.00;
in:39 out:41 type:b q:21.96 q-aq:22.00 q-noVbv:21.96 q-Rceq:1.00 tex:6234 mv:9184 misc:2046 icu:8.75 pcu:602.25 scu:685.00 tlayer:4 pbqpoffset:6.48 pbfactor:2.11 avgQpOffsetCutree:0.00;
in:44 out:42 type:B q:16.29 q-aq:12.03 q-noVbv:16.29 q-Rceq:1.00 tex:182538 mv:32177 misc:3373 icu:412.75 pcu:582.00 scu:301.25 tlayer:2 pbqpoffset:1.76 pbfactor:1.23 avgQpOffsetCutree:-3.93;
in:42 out:43 type:B q:18.38 q-aq:16.85 q-noVbv:18.38 q-Rceq:1.00 tex:36551 mv:20234 misc:3255 icu:45.00 pcu:761.25 scu:489.75 tlayer:3 pbqpoffset:3.48 pbfactor:1.49 avgQpOffsetCutree:-1.67;
in:41 out:44 type:b q:21.57 q-aq:22.00 q-noVbv:21.57 q-Rceq:1.00 tex:4225 mv:8047 misc:2016 icu:6.25 pcu:616.25 scu:673.50 tlayer:4 pbqpoffset:6.48 pbfactor:2.11 avgQpOffsetCutree:0.00;
in:43 out:45 type:b q:21.19 q-aq:21.00 q-noVbv:21.19 q-Rceq:1.00 tex:6574 mv:9361 misc:2009 icu:7.25 pcu:634.75 scu:654.00 tlayer:4 pbqpoffset:6.48 pbfactor:2.11 avgQpOffsetCutree:0.00;
in:46 out:46 type:B q:17.62 q-aq:15.32 q-noVbv:17.62 q-Rceq:1.00 tex:56611 mv:15007 misc:3310 icu:64.50 pcu:653.75 scu:577.75 tlayer:3 pbqpoffset:3.48 pbfactor:1.49 avgQpOffsetCutree:-2.13;
in:45 out:47 type:b q:20.81 q-aq:21.00 q-noVbv:20.81 q-Rceq:1.00 tex:2950 mv:6251 misc:1631 icu:1.00 pcu:494.00 scu:801.00 tlayer:4 pbqpoffset:6.48 pbfactor:2.11 avgQpOffsetCutree:0.00;
in:47 out:48 type:b q:20.43 q-aq:20.12 q-noVbv:20.43 q-Rceq:1.00 tex:7944 mv:3972 misc:1988 icu:29.75 pcu:303.50 scu:962.75 tlayer:4 pbqpoffset:6.48 pbfactor:2.11 avgQpOffsetCutree:0.00;
in:64 out:49 type:k q:13.75 q-aq:8.37 q-noVbv:13.75 q-Rceq:1.00 tex:374256 mv:39185 misc:2623 icu:1212.50 pcu:83.50 scu:0.00 tlayer:0 pbqpoffset:0.60 pbfactor:1.07 avgQpOffsetCutree:-5.90;
in:56 out:50 type:B q:15.25 q-aq:10.06 q-noVbv:15.25 q-Rceq:1.00 tex:258210 mv:38087 misc:3103 icu:709.25 pcu:335.25 scu:251.50 tlayer:1 pbqpoffset:1.50 pbfactor:1.19 avgQpOffsetCutree:-5.08;
in:52 out:51 type:B q:15.75 q-aq:12.24 q-noVbv:15.75 q-Rceq:1.00 tex:131589 mv:34139 misc:3664 icu:198.50 pcu:733.50 scu:364.00 tlayer:2 pbqpoffset:1.99 pbfactor:1.26 avgQpOffsetCutree:-3.31;
in:50 out:52 type:B q:17.12 q-aq:15.61 q-noVbv:17.12 q-Rceq:1.00 tex:46521 mv:21539 misc:3100 icu:38.75 pcu:781.50 scu:475.75 tlayer:3 pbqpoffset:3.36 pbfactor:1.47 avgQpOffsetCutree:-1.71;
in:49 out:53 type:b q:20.12 q-aq:20.00 q-noVbv:20.12 q-Rceq:1.00 tex:7738 mv:9166 misc:2072 icu:4.00 pcu:574.50 scu:717.50 tlayer:4 pbqpoffset:6.36 pbfactor:2.08 avgQpOffsetCutree:0.00;
in:51 out:54 type:b q:20.12 q-aq:20.01 q-noVbv:20.12 q-Rceq:1.00 tex:8147 mv:9347 misc:2098 icu:4.75 pcu:602.50 scu:688.75 tlayer:4 pbqpoffset:6.36 pbfactor:2.08 avgQpOffsetCutree:0.00;
in:54 out:55 type:B q:17.12 q-aq:15.22 q-noVbv:17.12 q-Rceq:1.00 tex:47131 mv:22530 misc:3219 icu:46.75 pcu:793.75 scu:455.50 tlayer:3 pbqpoffset:3.36 pbfactor:1.47 avgQpOffsetCutree:-1.79;
in:53 out:56 type:b q:20.12 q-aq:20.01 q-noVbv:20.12 q-Rceq:1.00 tex:8144 mv:9489 misc:2055 icu:7.75 pcu:595.50 scu:692.75 tlayer:4 pbqpoffset:6.36 pbfactor:2.08 avgQpOffsetCutree:0.00;
in:55 out:57 type:b q:20.12 q-aq:20.00 q-noVbv:20.12 q-Rceq:1.00 tex:6638 mv:9333 misc:2085 icu:4.25 pcu:590.00 scu:701.75 tlayer:4 pbqpoffset:6.36 pbfactor:2.08 avgQpOffsetCutree:0.00;
in:60 out:58 type:B q:15.59 q-aq:11.73 q-noVbv:15.59 q-Rceq:1.00 tex:172563 mv:31028 misc:3337 icu:386.75 pcu:588.50 scu:320.75 tlayer:2 pbqpoffset:1.84 pbfactor:1.24 avgQpOffsetCutree:-3.68;
in:58 out:59 type:B q:17.11 q-aq:15.43 q-noVbv:17.11 q-Rceq:1.00 tex:40792 mv:21442 misc:3230 icu:51.00 pcu:741.75 scu:503.25 tlayer:3 pbqpoffset:3.36 pbfactor:1.47 avgQpOffsetCutree:-1.76;
in:57 out:60 type:b q:20.12 q-aq:20.00 q-noVbv:20.12 q-Rceq:1.00 tex:5713 mv:8479 misc:2016 icu:11.00 pcu:654.00 scu:631.00 tlayer:4 pbqpoffset:6.36 pbfactor:2.08 avgQpOffsetCutree:0.00;
in:59 out:61 type:b q:20.11 q-aq:20.01 q-noVbv:20.11 q-Rceq:1.00 tex:6388 mv:8459 misc:2073 icu:3.75 pcu:577.50 scu:714.75 tlayer:4 pbqpoffset:6.36 pbfactor:2.08 avgQpOffsetCutree:0.00;
in:62 out:62 type:B q:16.52 q-aq:14.35 q-noVbv:16.52 q-Rceq:1.00 tex:80327 mv:19537 misc:3800 icu:169.00 pcu:655.25 scu:471.75 tlayer:3 pbqpoffset:2.77 pbfactor:1.38 avgQpOffsetCutree:-2.13;
in:61 out:63 type:b q:20.11 q-aq:20.00 q-noVbv:20.11 q-Rceq:1.00 tex:5699 mv:8797 misc:2096 icu:8.75 pcu:623.50 scu:663.75 tlayer:4 pbqpoffset:6.36 pbfactor:2.08 avgQpOffsetCutree:0.00;
in:63 out:64 type:b q:20.11 q-aq:20.00 q-noVbv:20.11 q-Rceq:1.00 tex:9512 mv:5846 misc:2106 icu:32.00 pcu:479.75 scu:784.25 tlayer:4 pbqpoffset:6.36 pbfactor:2.08 avgQpOffsetCutree:0.00;
in:80 out:65 type:k q:14.26 q-aq:8.64 q-noVbv:14.26 q-Rceq:1.00 tex:348249 mv:37255 misc:2832 icu:1208.75 pcu:86.50 scu:0.75 tlayer:0 pbqpoffset:0.53 pbfactor:1.06 avgQpOffsetCutree:-6.10;
in:72 out:66 type:B q:15.44 q-aq:10.82 q-noVbv:15.44 q-Rceq:1.00 tex:251686 mv:35856 misc:3138 icu:777.00 pcu:309.25 scu:209.75 tlayer:1 pbqpoffset:1.44 pbfactor:1.18 avgQpOffsetCutree:-4.84;
