#options: cpuid=1173503 frame-threads=1 no-wpp no-pmode no-pme psnr no-ssim log-level=2 bitdepth=8 input-csp=1 fps=50000/1000 input-res=768x432 interlace=0 total-frames=500 level-idc=0 high-tier=1 uhd-bd=0 ref=4 no-allow-non-conformance no-repeat-headers annexb no-aud no-hrd info hash=0 no-temporal-layers open-gop min-keyint=1 keyint=5000 bframes=15 b-adapt=2 b-pyramid bframe-bias=0 rc-lookahead=40 lookahead-slices=0 scenecut=40 no-intra-refresh ctu=64 min-cu-size=8 rect amp max-tu-size=32 tu-inter-depth=3 tu-intra-depth=3 limit-tu=4 rdoq-level=2 dynamic-rd=0.00 no-ssim-rd signhide no-tskip nr-intra=0 nr-inter=0 no-constrained-intra strong-intra-smoothing max-merge=4 limit-refs=1 limit-modes me=3 subme=4 merange=57 temporal-mvp weightp weightb no-analyze-src-pics deblock=0:0 sao no-sao-non-deblock rd=6 no-early-skip rskip no-fast-intra no-tskip-fast no-cu-lossless b-intra rdpenalty=0 psy-rd=0.00 psy-rdoq=0.00 no-rd-refine analysis-reuse-mode=0 no-lossless cbqpoffs=0 crqpoffs=0 rc=abr bitrate=2000 qcomp=0.60 qpstep=4 stats-write=1 stats-read=0 slow-firstpass ipratio=1.40 pbratio=1.30 aq-mode=1 aq-strength=0.00 cutree zone-count=0 no-strict-cbr qg-size=64 no-rc-grain qpmax=69 qpmin=0 no-const-vbv sar=0 overscan=0 videoformat=5 range=0 colorprim=2 transfer=2 colormatrix=2 chromaloc=0 display-window=0 max-cll=0,0 min-luma=0 max-luma=255 log2-max-poc-lsb=8 vui-timing-info vui-hrd-info slices=1 opt-qp-pps opt-ref-list-length-pps no-multi-pass-opt-rps scenecut-bias=0.05 no-opt-cu-delta-qp no-aq-motion no-hdr no-hdr-opt no-dhdr10-opt analysis-reuse-level=5 scale-factor=0 refine-intra=0 refine-inter=0 refine-mv=0 no-limit-sao ctu-info=0 max-tlayer=4
in:16 out:16 type:B q:37.64 q-aq:38.00 q-noVbv:37.64 q-Rceq:1.32 tex:2 mv:191 misc:231 icu:0.00 pcu:69.00 scu:1227.00 tlayer:3 pbqpoffset:4.36 pbfactor:1.65 avgQpOffsetCutree:-1.80;
in:15 out:17 type:b q:39.57 q-aq:40.00 q-noVbv:39.57 q-Rceq:1.32 tex:1 mv:484 misc:355 icu:0.00 pcu:209.00 scu:1087.00 tlayer:4 pbqpoffset:6.29 pbfactor:2.07 avgQpOffsetCutree:0.00;
in:17 out:18 type:b q:40.32 q-aq:40.00 q-noVbv:40.32 q-Rceq:1.32 tex:0 mv:22 misc:162 icu:0.00 pcu:16.00 scu:1280.00 tlayer:4 pbqpoffset:7.03 pbfactor:2.25 avgQpOffsetCutree:0.00;
in:34 out:19 type:k q:30.27 q-aq:21.73 q-noVbv:30.27 q-Rceq:1.32 tex:388810 mv:30623 misc:2959 icu:455.50 pcu:832.25 scu:8.25 tlayer:0 pbqpoffset:0.00 pbfactor:1.00 avgQpOffsetCutree:-7.82;
in:26 out:20 type:B q:31.79 q-aq:23.93 q-noVbv:31.79 q-Rceq:1.32 tex:132424 mv:18935 misc:3441 icu:29.75 pcu:1076.00 scu:190.25 tlayer:1 pbqpoffset:1.51 pbfactor:1.19 avgQpOffsetCutree:-6.07;
in:22 out:21 type:B q:33.15 q-aq:28.69 q-noVbv:33.15 q-Rceq:1.32 tex:6464 mv:5283 misc:1773 icu:0.00 pcu:830.25 scu:465.75 tlayer:2 pbqpoffset:2.88 pbfactor:1.39 avgQpOffsetCutree:-3.59;
in:20 out:22 type:B q:33.65 q-aq:32.23 q-noVbv:33.65 q-Rceq:1.32 tex:53 mv:2034 misc:785 icu:0.00 pcu:654.00 scu:642.00 tlayer:3 pbqpoffset:3.38 pbfactor:1.48 avgQpOffsetCutree:-1.66;
in:19 out:23 type:b q:36.33 q-aq:36.00 q-noVbv:36.33 q-Rceq:1.32 tex:4 mv:555 misc:417 icu:0.00 pcu:202.00 scu:1094.00 tlayer:4 pbqpoffset:6.06 pbfactor:2.01 avgQpOffsetCutree:0.00;
in:21 out:24 type:b q:36.33 q-aq:36.00 q-noVbv:36.33 q-Rceq:1.32 tex:8 mv:416 misc:360 icu:0.00 pcu:222.00 scu:1074.00 tlayer:4 pbqpoffset:6.06 pbfactor:2.01 avgQpOffsetCutree:0.00;
in:24 out:25 type:B q:33.65 q-aq:31.79 q-noVbv:33.65 q-Rceq:1.32 tex:447 mv:2986 misc:655 icu:0.00 pcu:847.75 scu:448.25 tlayer:3 pbqpoffset:3.38 pbfactor:1.48 avgQpOffsetCutree:-1.71;
in:23 out:26 type:b q:36.65 q-aq:37.00 q-noVbv:36.65 q-Rceq:1.32 tex:4 mv:892 misc:440 icu:0.00 pcu:297.00 scu:999.00 tlayer:4 pbqpoffset:6.38 pbfactor:2.09 avgQpOffsetCutree:0.00;
in:25 out:27 type:b q:36.33 q-aq:36.00 q-noVbv:36.33 q-Rceq:1.32 tex:9 mv:1419 misc:500 icu:4.00 pcu:487.00 scu:805.00 tlayer:4 pbqpoffset:6.06 pbfactor:2.01 avgQpOffsetCutree:0.00;
in:30 out:28 type:B q:33.65 q-aq:31.64 q-noVbv:33.65 q-Rceq:1.32 tex:690 mv:771 misc:827 icu:0.00 pcu:305.50 scu:990.50 tlayer:2 pbqpoffset:3.38 pbfactor:1.48 avgQpOffsetCutree:-2.06;
in:28 out:29 type:B q:33.65 q-aq:34.00 q-noVbv:33.65 q-Rceq:1.32 tex:5 mv:462 misc:381 icu:0.00 pcu:204.00 scu:1092.00 tlayer:3 pbqpoffset:3.38 pbfactor:1.48 avgQpOffsetCutree:-2.05;
in:27 out:30 type:b q:36.33 q-aq:36.00 q-noVbv:36.33 q-Rceq:1.32 tex:2 mv:47 misc:183 icu:0.00 pcu:48.00 scu:1248.00 tlayer:4 pbqpoffset:6.06 pbfactor:2.01 avgQpOffsetCutree:0.00;
in:29 out:31 type:b q:36.33 q-aq:36.00 q-noVbv:36.33 q-Rceq:1.32 tex:1 mv:54 misc:185 icu:0.00 pcu:64.00 scu:1232.00 tlayer:4 pbqpoffset:6.06 pbfactor:2.01 avgQpOffsetCutree:0.00;
in:32 out:32 type:B q:32.46 q-aq:32.93 q-noVbv:32.46 q-Rceq:1.32 tex:40 mv:370 misc:366 icu:0.00 pcu:115.25 scu:1180.75 tlayer:3 pbqpoffset:2.19 pbfactor:1.29 avgQpOffsetCutree:-0.52;
in:31 out:33 type:b q:36.65 q-aq:37.00 q-noVbv:36.65 q-Rceq:1.32 tex:7 mv:1286 misc:531 icu:0.00 pcu:518.00 scu:778.00 tlayer:4 pbqpoffset:6.38 pbfactor:2.09 avgQpOffsetCutree:0.00;
in:33 out:34 type:b q:36.33 q-aq:36.00 q-noVbv:36.33 q-Rceq:1.32 tex:1 mv:285 misc:306 icu:0.00 pcu:118.25 scu:1177.75 tlayer:4 pbqpoffset:6.06 pbfactor:2.01 avgQpOffsetCutree:0.00;
in:50 out:35 type:k q:30.34 q-aq:22.81 q-noVbv:30.34 q-Rceq:1.32 tex:325429 mv:30442 misc:3233 icu:638.00 pcu:650.75 scu:7.25 tlayer:0 pbqpoffset:0.00 pbfactor:1.00 avgQpOffsetCutree:-7.75;
in:42 out:36 type:B q:32.12 q-aq:24.84 q-noVbv:32.12 q-Rceq:1.32 tex:130746 mv:17021 misc:3497 icu:44.00 pcu:1038.25 scu:213.75 tlayer:1 pbqpoffset:1.81 pbfactor:1.23 avgQpOffsetCutree:-6.04;
in:38 out:37 type:B q:32.84 q-aq:29.02 q-noVbv:32.84 q-Rceq:1.32 tex:4080 mv:4830 misc:1642 icu:5.00 pcu:786.50 scu:504.50 tlayer:2 pbqpoffset:2.56 pbfactor:1.34 avgQpOffsetCutree:-3.18;
in:36 out:38 type:B q:33.87 q-aq:31.40 q-noVbv:33.87 q-Rceq:1.32 tex:2092 mv:3986 misc:1410 icu:2.25 pcu:778.25 scu:515.50 tlayer:3 pbqpoffset:3.59 pbfactor:1.51 avgQpOffsetCutree:-2.22;
in:35 out:39 type:b q:36.87 q-aq:37.00 q-noVbv:36.87 q-Rceq:1.32 tex:8 mv:484 misc:380 icu:0.00 pcu:168.00 scu:1128.00 tlayer:4 pbqpoffset:6.59 pbfactor:2.14 avgQpOffsetCutree:0.00;
in:37 out:40 type:b q:36.82 q-aq:37.00 q-noVbv:36.82 q-Rceq:1.32 tex:8 mv:1045 misc:475 icu:4.00 pcu:364.00 scu:928.00 tlayer:4 pbqpoffset:6.53 pbfactor:2.13 avgQpOffsetCutree:0.00;
in:40 out:41 type:B q:33.89 q-aq:32.02 q-noVbv:33.89 q-Rceq:1.32 tex:254 mv:2548 misc:774 icu:0.00 pcu:663.00 scu:633.00 tlayer:3 pbqpoffset:3.59 pbfactor:1.51 avgQpOffsetCutree:-2.23;
in:39 out:42 type:b q:36.89 q-aq:37.00 q-noVbv:36.89 q-Rceq:1.32 tex:11 mv:1379 misc:514 icu:0.00 pcu:518.00 scu:778.00 tlayer:4 pbqpoffset:6.59 pbfactor:2.14 avgQpOffsetCutree:0.00;
in:41 out:43 type:b q:36.57 q-aq:37.00 q-noVbv:36.57 q-Rceq:1.32 tex:6 mv:693 misc:437 icu:0.00 pcu:306.00 scu:990.00 tlayer:4 pbqpoffset:6.27 pbfactor:2.06 avgQpOffsetCutree:0.00;
in:46 out:44 type:B q:33.59 q-aq:29.49 q-noVbv:33.59 q-Rceq:1.32 tex:1438 mv:3504 misc:1794 icu:8.00 pcu:524.00 scu:764.00 tlayer:2 pbqpoffset:3.27 pbfactor:1.46 avgQpOffsetCutree:-2.94;
in:44 out:45 type:B q:33.91 q-aq:33.33 q-noVbv:33.91 q-Rceq:1.32 tex:62 mv:1579 misc:719 icu:0.00 pcu:470.00 scu:826.00 tlayer:3 pbqpoffset:3.59 pbfactor:1.51 avgQpOffsetCutree:-1.93;
in:43 out:46 type:b q:36.58 q-aq:37.00 q-noVbv:36.58 q-Rceq:1.32 tex:2 mv:454 misc:328 icu:0.00 pcu:225.00 scu:1071.00 tlayer:4 pbqpoffset:6.27 pbfactor:2.06 avgQpOffsetCutree:0.00;
in:45 out:47 type:b q:36.59 q-aq:37.00 q-noVbv:36.59 q-Rceq:1.32 tex:6 mv:855 misc:459 icu:0.00 pcu:329.00 scu:967.00 tlayer:4 pbqpoffset:6.27 pbfactor:2.06 avgQpOffsetCutree:0.00;
in:48 out:48 type:B q:32.06 q-aq:31.63 q-noVbv:32.06 q-Rceq:1.32 tex:15316 mv:4949 misc:2279 icu:24.00 pcu:677.00 scu:595.00 tlayer:3 pbqpoffset:1.73 pbfactor:1.22 avgQpOffsetCutree:-1.00;
in:47 out:49 type:b q:36.92 q-aq:37.00 q-noVbv:36.92 q-Rceq:1.32 tex:153 mv:1818 misc:661 icu:6.25 pcu:437.25 scu:852.50 tlayer:4 pbqpoffset:6.59 pbfactor:2.14 avgQpOffsetCutree:0.00;
