#options: cpuid=1050111 frame-threads=1 no-wpp no-pmode no-pme psnr no-ssim log-level=2 bitdepth=8 input-csp=1 fps=25000/1000 input-res=768x432 interlace=0 total-frames=250 level-idc=0 high-tier=1 uhd-bd=0 ref=4 no-allow-non-conformance no-repeat-headers annexb no-aud no-hrd info hash=0 no-temporal-layers open-gop min-keyint=1 keyint=5000 bframes=15 b-adapt=2 b-pyramid bframe-bias=0 rc-lookahead=40 lookahead-slices=0 scenecut=40 no-intra-refresh ctu=64 min-cu-size=8 rect amp max-tu-size=32 tu-inter-depth=3 tu-intra-depth=3 limit-tu=4 rdoq-level=2 dynamic-rd=0.00 no-ssim-rd signhide no-tskip nr-intra=0 nr-inter=0 no-constrained-intra strong-intra-smoothing max-merge=4 limit-refs=1 limit-modes me=3 subme=4 merange=57 temporal-mvp weightp weightb no-analyze-src-pics deblock=0:0 sao no-sao-non-deblock rd=6 no-early-skip rskip no-fast-intra no-tskip-fast no-cu-lossless b-intra rdpenalty=0 psy-rd=0.00 psy-rdoq=0.00 no-rd-refine analysis-reuse-mode=0 no-lossless cbqpoffs=0 crqpoffs=0 rc=abr bitrate=2000 qcomp=0.60 qpstep=4 stats-write=1 stats-read=0 slow-firstpass ipratio=1.40 pbratio=1.30 aq-mode=1 aq-strength=0.00 cutree zone-count=0 no-strict-cbr qg-size=64 no-rc-grain qpmax=69 qpmin=0 no-const-vbv sar=0 overscan=0 videoformat=5 range=0 colorprim=2 transfer=2 colormatrix=2 chromaloc=0 display-window=0 max-cll=0,0 min-luma=0 max-luma=255 log2-max-poc-lsb=8 vui-timing-info vui-hrd-info slices=1 opt-qp-pps opt-ref-list-length-pps no-multi-pass-opt-rps scenecut-bias=0.05 no-opt-cu-delta-qp no-aq-motion no-hdr no-hdr-opt no-dhdr10-opt analysis-reuse-level=5 scale-factor=0 refine-intra=0 refine-inter=0 refine-mv=0 no-limit-sao ctu-info=0 max-tlayer=4
in:0 out:0 type:I q:24.58 q-aq:21.11 q-noVbv:24.58 q-Rceq:1.00 tex:310482 mv:38789 misc:2449 icu:1296.00 pcu:0.00 scu:0.00 tlayer:0 pbqpoffset:0.00 pbfactor:1.00 avgQpOffsetCutree:-4.78;
in:16 out:1 type:k q:27.49 q-aq:24.36 q-noVbv:27.49 q-Rceq:1.00 tex:188322 mv:29980 misc:2210 icu:1289.25 pcu:5.75 scu:1.00 tlayer:0 pbqpoffset:0.00 pbfactor:1.00 avgQpOffsetCutree:-4.92;
in:8 out:2 type:B q:30.53 q-aq:25.91 q-noVbv:30.53 q-Rceq:1.00 tex:123803 mv:22962 misc:3091 icu:622.50 pcu:654.50 scu:19.00 tlayer:1 pbqpoffset:3.04 pbfactor:1.42 avgQpOffsetCutree:-5.03;
in:4 out:3 type:B q:31.52 q-aq:28.17 q-noVbv:31.52 q-Rceq:1.00 tex:40980 mv:21632 misc:3668 icu:173.00 pcu:854.75 scu:268.25 tlayer:2 pbqpoffset:4.03 pbfactor:1.59 avgQpOffsetCutree:-3.12;
in:2 out:4 type:B q:32.40 q-aq:30.84 q-noVbv:32.40 q-Rceq:1.00 tex:14228 mv:15349 misc:2999 icu:42.75 pcu:810.00 scu:443.25 tlayer:3 pbqpoffset:4.91 pbfactor:1.76 avgQpOffsetCutree:-1.79;
in:1 out:5 type:b q:35.40 q-aq:35.11 q-noVbv:35.40 q-Rceq:1.00 tex:3233 mv:6362 misc:1821 icu:3.50 pcu:576.00 scu:716.50 tlayer:4 pbqpoffset:7.91 pbfactor:2.49 avgQpOffsetCutree:0.00;
in:3 out:6 type:b q:35.40 q-aq:35.08 q-noVbv:35.40 q-Rceq:1.00 tex:2749 mv:6968 misc:1891 icu:15.25 pcu:664.50 scu:616.25 tlayer:4 pbqpoffset:7.91 pbfactor:2.49 avgQpOffsetCutree:0.00;
in:6 out:7 type:B q:32.40 q-aq:30.86 q-noVbv:32.40 q-Rceq:1.00 tex:15498 mv:13745 misc:2973 icu:75.50 pcu:793.75 scu:426.75 tlayer:3 pbqpoffset:4.91 pbfactor:1.76 avgQpOffsetCutree:-1.73;
in:5 out:8 type:b q:35.40 q-aq:35.12 q-noVbv:35.40 q-Rceq:1.00 tex:2640 mv:6940 misc:1700 icu:20.75 pcu:672.75 scu:602.50 tlayer:4 pbqpoffset:7.91 pbfactor:2.49 avgQpOffsetCutree:0.00;
in:7 out:9 type:b q:35.40 q-aq:35.09 q-noVbv:35.40 q-Rceq:1.00 tex:2526 mv:6592 misc:1858 icu:8.25 pcu:671.00 scu:616.75 tlayer:4 pbqpoffset:7.91 pbfactor:2.49 avgQpOffsetCutree:0.00;
in:12 out:10 type:B q:31.20 q-aq:26.92 q-noVbv:31.20 q-Rceq:1.00 tex:55076 mv:19072 misc:3660 icu:283.75 pcu:874.00 scu:138.25 tlayer:2 pbqpoffset:3.71 pbfactor:1.54 avgQpOffsetCutree:-3.95;
in:10 out:11 type:B q:32.40 q-aq:30.87 q-noVbv:32.40 q-Rceq:1.00 tex:8151 mv:12859 misc:2446 icu:26.75 pcu:831.50 scu:437.75 tlayer:3 pbqpoffset:4.91 pbfactor:1.76 avgQpOffsetCutree:-1.65;
in:9 out:12 type:b q:35.40 q-aq:35.05 q-noVbv:35.40 q-Rceq:1.00 tex:2114 mv:5959 misc:1559 icu:5.25 pcu:672.75 scu:618.00 tlayer:4 pbqpoffset:7.91 pbfactor:2.49 avgQpOffsetCutree:0.00;
in:11 out:13 type:b q:35.40 q-aq:35.00 q-noVbv:35.40 q-Rceq:1.00 tex:631 mv:4923 misc:1286 icu:2.50 pcu:637.25 scu:656.25 tlayer:4 pbqpoffset:7.91 pbfactor:2.49 avgQpOffsetCutree:0.00;
in:14 out:14 type:B q:32.40 q-aq:29.98 q-noVbv:32.40 q-Rceq:1.00 tex:10930 mv:9542 misc:2808 icu:71.00 pcu:694.50 scu:530.50 tlayer:3 pbqpoffset:4.91 pbfactor:1.76 avgQpOffsetCutree:-2.25;
