#options: cpuid=1050111 frame-threads=1 no-wpp no-pmode no-pme psnr no-ssim log-level=2 bitdepth=8 input-csp=1 fps=25000/1000 input-res=768x432 interlace=0 total-frames=250 level-idc=0 high-tier=1 uhd-bd=0 ref=4 no-allow-non-conformance no-repeat-headers annexb no-aud no-hrd info hash=0 no-temporal-layers open-gop min-keyint=1 keyint=5000 bframes=15 b-adapt=2 b-pyramid bframe-bias=0 rc-lookahead=40 lookahead-slices=0 scenecut=40 no-intra-refresh ctu=64 min-cu-size=8 rect amp max-tu-size=32 tu-inter-depth=3 tu-intra-depth=3 limit-tu=4 rdoq-level=2 dynamic-rd=0.00 no-ssim-rd signhide no-tskip nr-intra=0 nr-inter=0 no-constrained-intra strong-intra-smoothing max-merge=4 limit-refs=1 limit-modes me=3 subme=4 merange=57 temporal-mvp weightp weightb no-analyze-src-pics deblock=0:0 sao no-sao-non-deblock rd=6 no-early-skip rskip no-fast-intra no-tskip-fast no-cu-lossless b-intra rdpenalty=0 psy-rd=0.00 psy-rdoq=0.00 no-rd-refine analysis-reuse-mode=0 no-lossless cbqpoffs=0 crqpoffs=0 rc=abr bitrate=2000 qcomp=0.60 qpstep=4 stats-write=1 stats-read=0 slow-firstpass ipratio=1.40 pbratio=1.30 aq-mode=1 aq-strength=0.00 cutree zone-count=0 no-strict-cbr qg-size=64 no-rc-grain qpmax=69 qpmin=0 no-const-vbv sar=0 overscan=0 videoformat=5 range=0 colorprim=2 transfer=2 colormatrix=2 chromaloc=0 display-window=0 max-cll=0,0 min-luma=0 max-luma=255 log2-max-poc-lsb=8 vui-timing-info vui-hrd-info slices=1 opt-qp-pps opt-ref-list-length-pps no-multi-pass-opt-rps scenecut-bias=0.05 no-opt-cu-delta-qp no-aq-motion no-hdr no-hdr-opt no-dhdr10-opt analysis-reuse-level=5 scale-factor=0 refine-intra=0 refine-inter=0 refine-mv=0 no-limit-sao ctu-info=0 max-tlayer=4
in:0 out:0 type:I q:19.66 q-aq:12.69 q-noVbv:19.66 q-Rceq:1.00 tex:321268 mv:45144 misc:2156 icu:1296.00 pcu:0.00 scu:0.00 tlayer:0 pbqpoffset:0.00 pbfactor:1.00 avgQpOffsetCutree:-6.02;
in:16 out:1 type:k q:18.57 q-aq:12.61 q-noVbv:18.57 q-Rceq:1.00 tex:339042 mv:47057 misc:2173 icu:1283.75 pcu:12.25 scu:0.00 tlayer:0 pbqpoffset:0.00 pbfactor:1.00 avgQpOffsetCutree:-6.48;
in:8 out:2 type:B q:20.35 q-aq:14.51 q-noVbv:20.35 q-Rceq:1.00 tex:292806 mv:44169 misc:2729 icu:763.25 pcu:495.75 scu:37.00 tlayer:1 pbqpoffset:1.78 pbfactor:1.23 avgQpOffsetCutree:-5.45;
in:4 out:3 type:B q:21.87 q-aq:17.84 q-noVbv:21.87 q-Rceq:1.00 tex:78045 mv:31787 misc:4584 icu:84.75 pcu:995.25 scu:216.00 tlayer:2 pbqpoffset:3.30 pbfactor:1.46 avgQpOffsetCutree:-3.22;
in:2 out:4 type:B q:22.22 q-aq:21.30 q-noVbv:22.22 q-Rceq:1.00 tex:7565 mv:13449 misc:2922 icu:13.00 pcu:964.75 scu:318.25 tlayer:3 pbqpoffset:3.65 pbfactor:1.52 avgQpOffsetCutree:-1.36;
in:1 out:5 type:b q:25.22 q-aq:25.00 q-noVbv:25.22 q-Rceq:1.00 tex:743 mv:4496 misc:921 icu:1.25 pcu:935.75 scu:359.00 tlayer:4 pbqpoffset:6.65 pbfactor:2.16 avgQpOffsetCutree:0.00;
in:3 out:6 type:b q:25.22 q-aq:25.00 q-noVbv:25.22 q-Rceq:1.00 tex:1525 mv:5347 misc:1192 icu:1.50 pcu:918.25 scu:376.25 tlayer:4 pbqpoffset:6.65 pbfactor:2.16 avgQpOffsetCutree:0.00;
in:6 out:7 type:B q:22.22 q-aq:20.78 q-noVbv:22.22 q-Rceq:1.00 tex:16242 mv:18209 misc:3917 icu:16.50 pcu:938.25 scu:341.25 tlayer:3 pbqpoffset:3.65 pbfactor:1.52 avgQpOffsetCutree:-1.59;
in:5 out:8 type:b q:25.22 q-aq:25.00 q-noVbv:25.22 q-Rceq:1.00 tex:3039 mv:6150 misc:1523 icu:3.75 pcu:972.25 scu:320.00 tlayer:4 pbqpoffset:6.65 pbfactor:2.16 avgQpOffsetCutree:0.00;
in:7 out:9 type:b q:25.22 q-aq:25.00 q-noVbv:25.22 q-Rceq:1.00 tex:1029 mv:4475 misc:1016 icu:2.25 pcu:918.00 scu:375.75 tlayer:4 pbqpoffset:6.65 pbfactor:2.16 avgQpOffsetCutree:0.00;
in:12 out:10 type:B q:21.27 q-aq:16.39 q-noVbv:21.27 q-Rceq:1.00 tex:141585 mv:27508 misc:3803 icu:157.00 pcu:1032.00 scu:107.00 tlayer:2 pbqpoffset:2.70 pbfactor:1.37 avgQpOffsetCutree:-3.93;
in:10 out:11 type:B q:22.22 q-aq:21.07 q-noVbv:22.22 q-Rceq:1.00 tex:9605 mv:13390 misc:2677 icu:12.00 pcu:992.25 scu:291.75 tlayer:3 pbqpoffset:3.65 pbfactor:1.52 avgQpOffsetCutree:-1.42;
in:9 out:12 type:b q:25.22 q-aq:25.00 q-noVbv:25.22 q-Rceq:1.00 tex:1678 mv:4877 misc:813 icu:2.25 pcu:1023.50 scu:270.25 tlayer:4 pbqpoffset:6.65 pbfactor:2.16 avgQpOffsetCutree:0.00;
in:11 out:13 type:b q:25.22 q-aq:25.00 q-noVbv:25.22 q-Rceq:1.00 tex:1212 mv:4679 misc:949 icu:2.25 pcu:898.75 scu:395.00 tlayer:4 pbqpoffset:6.65 pbfactor:2.16 avgQpOffsetCutree:0.00;
in:14 out:14 type:B q:22.22 q-aq:19.59 q-noVbv:22.22 q-Rceq:1.00 tex:35757 mv:14627 misc:3696 icu:58.75 pcu:988.75 scu:248.50 tlayer:3 pbqpoffset:3.65 pbfactor:1.52 avgQpOffsetCutree:-2.26;
in:13 out:15 type:b q:25.22 q-aq:25.00 q-noVbv:25.22 q-Rceq:1.00 tex:1623 mv:4965 misc:1020 icu:0.50 pcu:946.75 scu:348.75 tlayer:4 pbqpoffset:6.65 pbfactor:2.16 avgQpOffsetCutree:0.00;
in:15 out:16 type:b q:24.66 q-aq:25.00 q-noVbv:24.66 q-Rceq:1.00 tex:7964 mv:6391 misc:2029 icu:6.00 pcu:911.00 scu:379.00 tlayer:4 pbqpoffset:6.09 pbfactor:2.02 avgQpOffsetCutree:0.00;
in:32 out:17 type:k q:18.67 q-aq:12.82 q-noVbv:18.67 q-Rceq:1.00 tex:359999 mv:45834 misc:2079 icu:1264.25 pcu:27.75 scu:4.00 tlayer:0 pbqpoffset:0.00 pbfactor:1.00 avgQpOffsetCutree:-6.58;
in:24 out:18 type:B q:20.29 q-aq:14.80 q-noVbv:20.29 q-Rceq:1.00 tex:267946 mv:42865 misc:2861 icu:607.50 pcu:659.00 scu:29.50 tlayer:1 pbqpoffset:1.67 pbfactor:1.21 avgQpOffsetCutree:-5.41;
in:20 out:19 type:B q:22.03 q-aq:18.11 q-noVbv:22.03 q-Rceq:1.00 tex:61630 mv:30104 misc:4538 icu:46.25 pcu:987.00 scu:262.75 tlayer:2 pbqpoffset:3.44 pbfactor:1.49 avgQpOffsetCutree:-3.23;
in:18 out:20 type:B q:22.11 q-aq:20.86 q-noVbv:22.11 q-Rceq:1.00 tex:10269 mv:14146 misc:3225 icu:9.75 pcu:956.50 scu:329.75 tlayer:3 pbqpoffset:3.53 pbfactor:1.50 avgQpOffsetCutree:-1.36;
in:17 out:21 type:b q:25.10 q-aq:25.00 q-noVbv:25.10 q-Rceq:1.00 tex:899 mv:4347 misc:866 icu:0.25 pcu:943.00 scu:352.75 tlayer:4 pbqpoffset:6.53 pbfactor:2.13 avgQpOffsetCutree:0.00;
in:19 out:22 type:b q:25.12 q-aq:25.00 q-noVbv:25.12 q-Rceq:1.00 tex:1610 mv:5200 misc:1022 icu:2.75 pcu:957.75 scu:335.50 tlayer:4 pbqpoffset:6.53 pbfactor:2.13 avgQpOffsetCutree:0.00;
in:22 out:23 type:B q:22.13 q-aq:20.26 q-noVbv:22.13 q-Rceq:1.00 tex:11318 mv:14381 misc:3109 icu:10.75 pcu:921.50 scu:363.75 tlayer:3 pbqpoffset:3.53 pbfactor:1.50 avgQpOffsetCutree:-1.77;
in:21 out:24 type:b q:25.13 q-aq:25.00 q-noVbv:25.13 q-Rceq:1.00 tex:1524 mv:4718 misc:1030 icu:2.75 pcu:867.00 scu:426.25 tlayer:4 pbqpoffset:6.53 pbfactor:2.13 avgQpOffsetCutree:0.00;
in:23 out:25 type:b q:25.14 q-aq:25.00 q-noVbv:25.14 q-Rceq:1.00 tex:1341 mv:4878 misc:1029 icu:0.75 pcu:905.50 scu:389.75 tlayer:4 pbqpoffset:6.53 pbfactor:2.13 avgQpOffsetCutree:0.00;
in:28 out:26 type:B q:21.17 q-aq:16.56 q-noVbv:21.17 q-Rceq:1.00 tex:142459 mv:27355 misc:4170 icu:139.75 pcu:1028.25 scu:128.00 tlayer:2 pbqpoffset:2.53 pbfactor:1.34 avgQpOffsetCutree:-4.10;
in:26 out:27 type:B q:22.16 q-aq:20.36 q-noVbv:22.16 q-Rceq:1.00 tex:14252 mv:16746 misc:3538 icu:12.50 pcu:949.00 scu:334.50 tlayer:3 pbqpoffset:3.53 pbfactor:1.50 avgQpOffsetCutree:-1.70;
in:25 out:28 type:b q:25.15 q-aq:25.00 q-noVbv:25.15 q-Rceq:1.00 tex:1911 mv:5017 misc:1064 icu:0.50 pcu:932.75 scu:362.75 tlayer:4 pbqpoffset:6.53 pbfactor:2.13 avgQpOffsetCutree:0.00;
in:27 out:29 type:b q:25.16 q-aq:25.00 q-noVbv:25.16 q-Rceq:1.00 tex:1356 mv:4637 misc:1031 icu:3.00 pcu:897.50 scu:395.50 tlayer:4 pbqpoffset:6.53 pbfactor:2.13 avgQpOffsetCutree:0.00;
in:30 out:30 type:B q:22.18 q-aq:19.66 q-noVbv:22.18 q-Rceq:1.00 tex:23062 mv:14082 misc:3968 icu:30.75 pcu:935.75 scu:329.50 tlayer:3 pbqpoffset:3.53 pbfactor:1.50 avgQpOffsetCutree:-2.13;
in:29 out:31 type:b q:25.18 q-aq:25.00 q-noVbv:25.18 q-Rceq:1.00 tex:1860 mv:4543 misc:1069 icu:4.00 pcu:893.00 scu:399.00 tlayer:4 pbqpoffset:6.53 pbfactor:2.13 avgQpOffsetCutree:0.00;
in:31 out:32 type:b q:24.67 q-aq:25.00 q-noVbv:24.67 q-Rceq:1.00 tex:8449 mv:6543 misc:2136 icu:6.50 pcu:912.25 scu:377.25 tlayer:4 pbqpoffset:6.01 pbfactor:2.00 avgQpOffsetCutree:0.00;
in:48 out:33 type:k q:18.80 q-aq:12.86 q-noVbv:18.80 q-Rceq:1.00 tex:380024 mv:47240 misc:2216 icu:1242.25 pcu:51.00 scu:2.75 tlayer:0 pbqpoffset:0.00 pbfactor:1.00 avgQpOffsetCutree:-6.66;
in:40 out:34 type:B q:20.56 q-aq:14.86 q-noVbv:20.56 q-Rceq:1.00 tex:246262 mv:44933 misc:2997 icu:429.00 pcu:848.25 scu:18.75 tlayer:1 pbqpoffset:1.83 pbfactor:1.23 avgQpOffsetCutree:-5.50;
in:36 out:35 type:B q:22.24 q-aq:18.08 q-noVbv:22.24 q-Rceq:1.00 tex:46753 mv:29162 misc:4421 icu:34.25 pcu:987.50 scu:274.25 tlayer:2 pbqpoffset:3.54 pbfactor:1.50 avgQpOffsetCutree:-3.28;
in:34 out:36 type:B q:22.22 q-aq:20.39 q-noVbv:22.22 q-Rceq:1.00 tex:11023 mv:14131 misc:2806 icu:12.50 pcu:994.50 scu:289.00 tlayer:3 pbqpoffset:3.54 pbfactor:1.50 avgQpOffsetCutree:-1.75;
in:33 out:37 type:b q:25.21 q-aq:25.00 q-noVbv:25.21 q-Rceq:1.00 tex:1607 mv:4654 misc:1075 icu:2.75 pcu:924.75 scu:368.50 tlayer:4 pbqpoffset:6.54 pbfactor:2.13 avgQpOffsetCutree:0.00;
in:35 out:38 type:b q:25.23 q-aq:25.00 q-noVbv:25.23 q-Rceq:1.00 tex:1811 mv:4907 misc:1026 icu:7.25 pcu:932.25 scu:356.50 tlayer:4 pbqpoffset:6.54 pbfactor:2.13 avgQpOffsetCutree:0.00;
in:38 out:39 type:B q:22.25 q-aq:20.59 q-noVbv:22.25 q-Rceq:1.00 tex:11748 mv:13990 misc:2734 icu:9.75 pcu:993.75 scu:292.50 tlayer:3 pbqpoffset:3.54 pbfactor:1.50 avgQpOffsetCutree:-1.61;
in:37 out:40 type:b q:25.24 q-aq:25.00 q-noVbv:25.24 q-Rceq:1.00 tex:1872 mv:4745 misc:1103 icu:4.75 pcu:979.00 scu:312.25 tlayer:4 pbqpoffset:6.54 pbfactor:2.13 avgQpOffsetCutree:0.00;
