#options: cpuid=1050111 frame-threads=1 no-wpp no-pmode no-pme psnr no-ssim log-level=2 bitdepth=8 input-csp=1 fps=25000/1000 input-res=768x432 interlace=0 total-frames=250 level-idc=0 high-tier=1 uhd-bd=0 ref=4 no-allow-non-conformance no-repeat-headers annexb no-aud no-hrd info hash=0 no-temporal-layers open-gop min-keyint=1 keyint=5000 bframes=15 b-adapt=2 b-pyramid bframe-bias=0 rc-lookahead=40 lookahead-slices=0 scenecut=40 no-intra-refresh ctu=64 min-cu-size=8 rect amp max-tu-size=32 tu-inter-depth=3 tu-intra-depth=3 limit-tu=4 rdoq-level=2 dynamic-rd=0.00 no-ssim-rd signhide no-tskip nr-intra=0 nr-inter=0 no-constrained-intra strong-intra-smoothing max-merge=4 limit-refs=1 limit-modes me=3 subme=4 merange=57 temporal-mvp weightp weightb no-analyze-src-pics deblock=0:0 sao no-sao-non-deblock rd=6 no-early-skip rskip no-fast-intra no-tskip-fast no-cu-lossless b-intra rdpenalty=0 psy-rd=0.00 psy-rdoq=0.00 no-rd-refine analysis-reuse-mode=0 no-lossless cbqpoffs=0 crqpoffs=0 rc=abr bitrate=2000 qcomp=0.60 qpstep=4 stats-write=1 stats-read=0 slow-firstpass ipratio=1.40 pbratio=1.30 aq-mode=1 aq-strength=0.00 cutree zone-count=0 no-strict-cbr qg-size=64 no-rc-grain qpmax=69 qpmin=0 no-const-vbv sar=0 overscan=0 videoformat=5 range=0 colorprim=2 transfer=2 colormatrix=2 chromaloc=0 display-window=0 max-cll=0,0 min-luma=0 max-luma=255 log2-max-poc-lsb=8 vui-timing-info vui-hrd-info slices=1 opt-qp-pps opt-ref-list-length-pps no-multi-pass-opt-rps scenecut-bias=0.05 no-opt-cu-delta-qp no-aq-motion no-hdr no-hdr-opt no-dhdr10-opt analysis-reuse-level=5 scale-factor=0 refine-intra=0 refine-inter=0 refine-mv=0 no-limit-sao ctu-info=0 max-tlayer=4
in:0 out:0 type:I q:24.75 q-aq:21.37 q-noVbv:24.75 q-Rceq:1.00 tex:301527 mv:39632 misc:2489 icu:1296.00 pcu:0.00 scu:0.00 tlayer:0 pbqpoffset:0.00 pbfactor:1.00 avgQpOffsetCutree:-4.71;
in:16 out:1 type:k q:27.66 q-aq:24.71 q-noVbv:27.66 q-Rceq:1.00 tex:210871 mv:30898 misc:1967 icu:1284.50 pcu:11.50 scu:0.00 tlayer:0 pbqpoffset:0.00 pbfactor:1.00 avgQpOffsetCutree:-4.93;
in:8 out:2 type:B q:30.74 q-aq:26.40 q-noVbv:30.74 q-Rceq:1.00 tex:123597 mv:22947 misc:2992 icu:536.25 pcu:735.00 scu:24.75 tlayer:1 pbqpoffset:3.07 pbfactor:1.43 avgQpOffsetCutree:-4.87;
in:4 out:3 type:B q:31.67 q-aq:28.40 q-noVbv:31.67 q-Rceq:1.00 tex:45339 mv:20505 misc:3652 icu:155.75 pcu:831.25 scu:309.00 tlayer:2 pbqpoffset:4.01 pbfactor:1.59 avgQpOffsetCutree:-3.05;
in:2 out:4 type:B q:32.60 q-aq:31.17 q-noVbv:32.60 q-Rceq:1.00 tex:18992 mv:14726 misc:2938 icu:55.75 pcu:838.75 scu:401.50 tlayer:3 pbqpoffset:4.94 pbfactor:1.77 avgQpOffsetCutree:-1.69;
in:1 out:5 type:b q:35.60 q-aq:36.00 q-noVbv:35.60 q-Rceq:1.00 tex:3047 mv:6454 misc:1635 icu:3.25 pcu:686.00 scu:606.75 tlayer:4 pbqpoffset:7.94 pbfactor:2.50 avgQpOffsetCutree:0.00;
in:3 out:6 type:b q:35.60 q-aq:36.00 q-noVbv:35.60 q-Rceq:1.00 tex:2129 mv:6169 misc:1670 icu:5.75 pcu:627.25 scu:663.00 tlayer:4 pbqpoffset:7.94 pbfactor:2.50 avgQpOffsetCutree:0.00;
in:6 out:7 type:B q:32.60 q-aq:30.97 q-noVbv:32.60 q-Rceq:1.00 tex:16146 mv:14009 misc:3005 icu:64.75 pcu:736.25 scu:495.00 tlayer:3 pbqpoffset:4.94 pbfactor:1.77 avgQpOffsetCutree:-1.72;
in:5 out:8 type:b q:35.60 q-aq:36.00 q-noVbv:35.60 q-Rceq:1.00 tex:2920 mv:5965 misc:1619 icu:17.50 pcu:623.25 scu:655.25 tlayer:4 pbqpoffset:7.94 pbfactor:2.50 avgQpOffsetCutree:0.00;
in:7 out:9 type:b q:35.60 q-aq:36.00 q-noVbv:35.60 q-Rceq:1.00 tex:2664 mv:5677 misc:1667 icu:6.50 pcu:569.25 scu:720.25 tlayer:4 pbqpoffset:7.94 pbfactor:2.50 avgQpOffsetCutree:0.00;
in:12 out:10 type:B q:31.10 q-aq:27.24 q-noVbv:31.10 q-Rceq:1.00 tex:75809 mv:19771 misc:3284 icu:276.75 pcu:915.50 scu:103.75 tlayer:2 pbqpoffset:3.44 pbfactor:1.49 avgQpOffsetCutree:-3.60;
